First Name,Notes,Address
ABIEL LAKE,Drains to Tinkham Creek on SE side of Abiel Peak,"47.34833, -121.46139"
ABIEL PEAK,1.4 mi E of Scout Lake and 1 mi W of Mirror Lake.,"47.35278, -121.46778"
AIR STRIP,208th Av SE & SE 376th St  King County,"47.26722, -122.06611"
AL LAKE,"Drains to EF Foss R, 200 ft SE of Locket Lake","47.58250, -121.26056"
ALBERT LAKE,"Drains to Smay Creek, 6000 ft E of Goat Mountain","47.28472, -121.50194"
ALGONA PARK,402 Warde St  Algona,"47.27750, -122.24778"
ALICE LAKE,"NE of Preston, S of Fall City, drains to Raging River","47.53333, -121.88667"
ALICE LAKE LOWER,"West side of Mt Kent, head of Alice Creek","47.38972, -121.62389"
ALICE LAKE UPPER,"West side of Mt Kent, head of Alice Creek","47.39111, -121.62389"
ALIMENT LAKE,"1 mi N of Lake Retreat, N side of power lines, dr Cedar River","47.37028, -121.95278"
ALPENTAL SKI AREA PARKING,"Exit 52, I-90.  Parking lot is N of I-90 exit.","47.44472, -121.42194"
ALTURAS LAKE,Marshy lake drains to E Fk Foss River,"47.64250, -121.26694"
AMES LAKE,"2 mi W of Carnation, drains via Ames Creek","47.64111, -121.95722"
AMES LAKE POTHOLE,"2100 ft NW of Ames Lake, drains to Ames Lake","47.64333, -121.96889"
ANDERSON LAKE,"Head of trib. to Taylor River, 1. 1/4 miles NE of Marten Lk","47.60278, -121.48278"
ANDERSON PARK,168th Av NE & NE 79th St  Redmond,"47.67306, -122.11528"
ANDERSON RIDGE TRAILHEAD,N Fk road to FS Rd 57 to trailhead,"47.58833, -121.50417"
ANGELINE LAKE,Drains via high falls 4000 ft north to Delta Lake,"47.57083, -121.30556"
ANNETTE LAKE,"Head of Humpback Creek, 5 mi north of Abiel Peak","47.36000, -121.47222"
ANNETTE LAKE TRAILHEAD,"Exit 47, I-90 (Denny Creek Exit) Trailhead is South of I-90","47.39556, -121.47222"
ARDMORE PARK,NE 30th St & 168th Av NE  Bellevue,"47.63528, -122.11306"
ARTHUR JOHNSON PARK,NE Union Hill Rd & 196th Av NE  Redmond,"47.67444, -122.07889"
ASAHEL CURTIS PICNIC GROUND,"Exit 47, I-90, (Denny Creek Exit) (Go over & then under I-90)","47.39556, -121.46556"
AUBURN GAME FARM PARK,29th St SE & R St SE  Auburn,"47.28028, -122.20083"
AUBURN MUNICIPAL AIRPORT,23rd St NE & D St NE   Auburn,"47.32806, -122.22417"
AUBURNDALE PARK,108th Av SE & SE 315 Pl  King County,"47.31806, -122.19444"
AVALANCHE LAKE,"In Burntboot Creek, 2,600 ft below Iceburg Lake","47.49556, -121.31611"
AZURE LAKE,Drains 1500 ft NW to Angeline Lake,"47.56361, -121.29889"
AZURITE LAKE,Drains 1200 ft NE to Otter Lake,"47.56944, -121.29472"
BALD EAGLE LAKE,Drains NW to W Fk Foss Riv. on NE side Bald Eagle Peak,"47.61278, -121.27556"
BALD EAGLE PEAK,2.1 mi E of Malachite Lake,"47.60861, -121.29056"
BALD MOUNTAIN,North of Lester,"47.23694, -121.48694"
